epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1344.11,1.10724,0.88655,1.32046,0.85728,0.62301,0.78705,0.44295,1.42913,1.32916,1.66372,0.000810363,0.000810363,0.000810363
43,1375,1.10666,0.87749,1.33718,0.75665,0.74332,0.76564,0.46841,1.39442,1.16123,1.5901,0.000803031,0.000803031,0.000803031
44,1406.14,1.08158,0.83443,1.29336,0.7165,0.69205,0.72513,0.43371,1.461,1.2301,1.62568,0.000795698,0.000795698,0.000795698
45,1437.36,1.10165,0.8411,1.31971,0.75997,0.68681,0.81098,0.48632,1.44475,1.14397,1.60211,0.000788366,0.000788366,0.000788366
46,1469.19,1.08632,0.83739,1.30574,0.79684,0.71491,0.79997,0.47904,1.42333,1.19292,1.5762,0.000781033,0.000781033,0.000781033
47,1500.07,1.03223,0.78925,1.26887,0.82091,0.64485,0.75998,0.46513,1.36372,1.16478,1.57535,0.0007737,0.0007737,0.0007737
48,1530.94,1.04649,0.79358,1.26849,0.72784,0.85302,0.8399,0.51528,1.37347,0.99038,1.5894,0.000766368,0.000766368,0.000766368
49,1561.94,1.02055,0.77493,1.23381,0.70871,0.84225,0.84855,0.50796,1.42013,1.06045,1.58861,0.000759035,0.000759035,0.000759035
50,1593.92,1.03829,0.76029,1.26072,0.73478,0.79992,0.82453,0.51011,1.32213,1.0645,1.51701,0.000751703,0.000751703,0.000751703
51,1625.01,1.02463,0.73939,1.26637,0.71745,0.8187,0.793,0.47305,1.45681,1.36178,1.67197,0.00074437,0.00074437,0.00074437
52,1655.99,1.02547,0.73193,1.23815,0.85952,0.70423,0.81871,0.46185,1.48209,1.10619,1.68971,0.000737037,0.000737037,0.000737037
53,1686.8,0.98998,0.74736,1.23787,0.82233,0.70959,0.78737,0.47003,1.45108,1.20362,1.60695,0.000729705,0.000729705,0.000729705
54,1718.24,0.99207,0.69905,1.22292,0.83279,0.7479,0.83638,0.47491,1.47552,1.20323,1.60719,0.000722372,0.000722372,0.000722372
55,1749.67,0.99446,0.74344,1.24027,0.80919,0.71235,0.77645,0.46968,1.37644,1.11877,1.56866,0.00071504,0.00071504,0.00071504
56,1780.66,0.98783,0.72356,1.24146,0.75242,0.72537,0.80855,0.48114,1.41868,1.04916,1.62205,0.000707707,0.000707707,0.000707707
57,1811.48,0.98332,0.7345,1.22233,0.72159,0.69478,0.74139,0.43737,1.50511,1.33983,1.63281,0.000700374,0.000700374,0.000700374
58,1842.13,0.9772,0.71251,1.20949,0.75136,0.76191,0.80443,0.49848,1.44176,1.17005,1.62094,0.000693042,0.000693042,0.000693042
59,1873.8,0.95625,0.7121,1.21271,0.73695,0.73265,0.77136,0.47032,1.41834,1.44444,1.62909,0.000685709,0.000685709,0.000685709
60,1905.37,0.97548,0.70751,1.21599,0.73762,0.68626,0.73697,0.44752,1.48505,1.11464,1.68119,0.000678377,0.000678377,0.000678377
61,1936.14,0.9529,0.68143,1.21351,0.77476,0.66783,0.75928,0.47092,1.4521,1.30373,1.68364,0.000671044,0.000671044,0.000671044
62,1967.08,0.97195,0.69839,1.20512,0.788,0.67829,0.78845,0.476,1.39553,1.21246,1.61093,0.000663711,0.000663711,0.000663711
63,1998.13,0.92905,0.64734,1.1931,0.88307,0.70442,0.83754,0.51267,1.41705,1.10963,1.58654,0.000656379,0.000656379,0.000656379
64,2030.38,0.9439,0.64855,1.18812,0.88599,0.70306,0.82562,0.49452,1.44862,1.23839,1.65233,0.000649046,0.000649046,0.000649046
65,2061.36,0.91192,0.66476,1.18194,0.76494,0.77052,0.81364,0.49441,1.42283,1.26789,1.64818,0.000641714,0.000641714,0.000641714
66,2092.38,0.92339,0.68461,1.18037,0.69052,0.61838,0.71862,0.43679,1.50967,1.28062,1.65827,0.000634381,0.000634381,0.000634381
67,2123.15,0.92035,0.64604,1.17595,0.69075,0.72242,0.73553,0.4504,1.43863,1.30838,1.64598,0.000627048,0.000627048,0.000627048
68,2154.93,0.91259,0.6531,1.16497,0.79105,0.77092,0.81692,0.49396,1.43434,1.09307,1.63377,0.000619716,0.000619716,0.000619716
69,2186.36,0.90793,0.63812,1.18024,0.81712,0.73343,0.81656,0.49242,1.44199,1.1941,1.64304,0.000612383,0.000612383,0.000612383
70,2217.34,0.88975,0.61593,1.15953,0.76564,0.74219,0.78842,0.49231,1.43387,1.15919,1.7091,0.000605051,0.000605051,0.000605051
71,2247.97,0.89274,0.62332,1.15989,0.83033,0.72152,0.79446,0.50062,1.41489,1.27896,1.63588,0.000597718,0.000597718,0.000597718
72,2278.78,0.89081,0.64629,1.19256,0.81387,0.64724,0.80221,0.48431,1.46123,1.19652,1.67668,0.000590385,0.000590385,0.000590385
73,2310.21,0.86336,0.62771,1.15361,0.67371,0.84701,0.76803,0.47944,1.40744,0.99736,1.66038,0.000583053,0.000583053,0.000583053
74,2341.39,0.86103,0.59789,1.13536,0.81169,0.75623,0.8531,0.53738,1.37027,1.03256,1.57974,0.00057572,0.00057572,0.00057572
75,2372.06,0.84391,0.61171,1.14407,0.81545,0.83692,0.87058,0.54645,1.3733,0.92958,1.64786,0.000568388,0.000568388,0.000568388
76,2403.11,0.81733,0.58472,1.11608,0.90018,0.72224,0.85677,0.53958,1.3456,0.99551,1.60935,0.000561055,0.000561055,0.000561055
77,2433.83,0.85595,0.5879,1.14113,0.85749,0.76958,0.85536,0.54814,1.36199,1.01345,1.60794,0.000553722,0.000553722,0.000553722
78,2466.08,0.83614,0.60211,1.136,0.84884,0.786,0.83931,0.5257,1.40809,1.03567,1.63184,0.00054639,0.00054639,0.00054639
79,2496.96,0.81175,0.57826,1.11455,0.845,0.73717,0.83793,0.52361,1.357,1.01372,1.5818,0.000539057,0.000539057,0.000539057
80,2527.53,0.81465,0.56879,1.11589,0.81997,0.77596,0.85968,0.5236,1.38186,0.93788,1.59741,0.000531725,0.000531725,0.000531725
81,2558.21,0.8383,0.57173,1.13057,0.84955,0.7898,0.86902,0.55067,1.39416,0.90749,1.6466,0.000524392,0.000524392,0.000524392
82,2589.93,0.82706,0.58144,1.11144,0.74908,0.78318,0.82153,0.48968,1.438,1.01039,1.69545,0.000517059,0.000517059,0.000517059
83,2621.11,0.80828,0.56775,1.10972,0.82091,0.72415,0.83745,0.53088,1.37794,0.97428,1.6039,0.000509727,0.000509727,0.000509727
84,2652.18,0.78658,0.55195,1.08778,0.84745,0.81486,0.87624,0.51852,1.43805,0.98783,1.64829,0.000502394,0.000502394,0.000502394
85,2683.27,0.80702,0.56752,1.11371,0.86168,0.79164,0.85967,0.52563,1.42087,0.98152,1.63041,0.000495062,0.000495062,0.000495062
86,2714.57,0.79986,0.56176,1.10813,0.86567,0.77722,0.85856,0.51203,1.48158,1.00404,1.68673,0.000487729,0.000487729,0.000487729
