epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,57.5815,1.59778,4.43598,1.58723,0.00946,0.71415,0.10609,0.05476,1.25221,4.26804,1.38492,0.000362104,0.000362104,0.000362104
2,84.8338,1.49483,3.79371,1.51447,0.27477,0.16534,0.10413,0.04112,1.52822,4.14226,1.64889,0.000732258,0.000732258,0.000732258
3,114.589,1.52672,3.40846,1.54358,0.20772,0.47311,0.22219,0.10396,1.52972,3.20514,1.61834,0.00110169,0.00110169,0.00110169
4,143.831,1.4582,3.04324,1.53632,0.22527,0.41744,0.24665,0.12233,1.61835,3.44237,1.73037,0.00110856,0.00110856,0.00110856
5,174.322,1.56666,3.04442,1.66126,0.3569,0.43236,0.34645,0.18544,1.51883,2.92331,1.74185,0.00110666,0.00110666,0.00110666
6,203.087,1.46471,2.7308,1.54886,0.50673,0.33644,0.3412,0.20561,1.55978,2.5298,1.64032,0.00110423,0.00110423,0.00110423
7,232.799,1.44522,2.5449,1.51372,0.46001,0.35408,0.35551,0.21392,1.43748,2.9088,1.59927,0.00110126,0.00110126,0.00110126
8,261.437,1.39391,2.52401,1.483,0.34027,0.57402,0.35738,0.19213,1.46731,2.29482,1.5333,0.00109776,0.00109776,0.00109776
9,291.316,1.45145,2.29886,1.57991,0.39802,0.54692,0.42908,0.24453,1.5086,2.21839,1.64899,0.00109372,0.00109372,0.00109372
10,319.318,1.44669,2.06875,1.54611,0.5742,0.39218,0.49121,0.30223,1.45685,2.15254,1.63038,0.00108916,0.00108916,0.00108916
11,347.605,1.40014,2.05406,1.50218,0.416,0.53562,0.4242,0.26151,1.42295,2.20612,1.57535,0.00108408,0.00108408,0.00108408
12,375.434,1.41415,1.9795,1.50907,0.43471,0.51394,0.51028,0.31394,1.46914,1.99878,1.6552,0.00107849,0.00107849,0.00107849
13,402.631,1.39566,1.91068,1.50666,0.50687,0.56557,0.53645,0.30818,1.41961,2.00197,1.56195,0.00107238,0.00107238,0.00107238
14,429.484,1.32442,1.87297,1.43371,0.58165,0.47256,0.53893,0.34203,1.38853,2.02776,1.58366,0.00106577,0.00106577,0.00106577
15,456.788,1.37223,1.78825,1.48934,0.46077,0.52728,0.48774,0.29624,1.44171,2.15508,1.60783,0.00105866,0.00105866,0.00105866
16,482.762,1.36789,1.66395,1.46782,0.59067,0.47453,0.53312,0.31784,1.50234,2.03856,1.69414,0.00105106,0.00105106,0.00105106
17,510.295,1.32908,1.62311,1.46223,0.60425,0.47436,0.51568,0.25426,1.71209,2.01521,1.84009,0.00104298,0.00104298,0.00104298
18,536.859,1.35919,1.65488,1.4591,0.50957,0.60069,0.5129,0.31967,1.41682,1.94247,1.66849,0.00103442,0.00103442,0.00103442
19,565.157,1.33132,1.54864,1.47688,0.52665,0.65697,0.57456,0.36113,1.3444,1.66798,1.58279,0.00102539,0.00102539,0.00102539
20,592.206,1.33844,1.48369,1.43972,0.39137,0.56626,0.46733,0.289,1.34551,1.83158,1.5372,0.0010159,0.0010159,0.0010159
21,619.307,1.30526,1.47768,1.45791,0.56592,0.59822,0.59896,0.35654,1.40419,1.72853,1.56579,0.00100597,0.00100597,0.00100597
22,646.246,1.28915,1.42079,1.44062,0.65165,0.50628,0.59497,0.37041,1.32584,1.72152,1.53494,0.000995597,0.000995597,0.000995597
23,673.957,1.30522,1.41335,1.45894,0.53642,0.59784,0.56053,0.34378,1.32056,1.75303,1.53984,0.000984795,0.000984795,0.000984795
