epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,60.4677,1.6252,5.38794,1.65567,0.25277,0.34756,0.24865,0.12974,1.49623,2.99274,1.68446,0.000362454,0.000362454,0.000362454
2,91.7222,1.56981,2.70706,1.5638,0.36355,0.23374,0.16558,0.06797,1.75931,34.2125,1.92632,0.000732608,0.000732608,0.000732608
3,122.119,1.61863,2.44329,1.61698,0.18946,0.38263,0.19427,0.09937,1.71144,4.2751,1.87612,0.00110204,0.00110204,0.00110204
4,152.981,1.56274,2.23431,1.59199,0.4211,0.25209,0.1838,0.10177,2.07524,3.39873,1.97334,0.00110856,0.00110856,0.00110856
5,183.235,1.5205,1.9803,1.56601,0.28444,0.53486,0.33022,0.17245,1.68211,2.63732,1.72195,0.00110666,0.00110666,0.00110666
6,213.839,1.53735,1.94891,1.57875,0.38643,0.45442,0.33997,0.18577,1.61839,2.31917,1.6543,0.00110423,0.00110423,0.00110423
7,245.32,1.49023,1.84833,1.57738,0.43876,0.44163,0.39639,0.22815,1.65674,2.17976,1.72163,0.00110126,0.00110126,0.00110126
8,276.589,1.45371,1.71427,1.52878,0.35593,0.44805,0.37157,0.2076,1.70505,2.53449,1.72333,0.00109776,0.00109776,0.00109776
9,307.451,1.49196,1.67314,1.54025,0.34945,0.47498,0.36466,0.19114,1.71882,2.26891,1.65411,0.00109372,0.00109372,0.00109372
10,338.157,1.43215,1.59013,1.52123,0.62854,0.45067,0.55481,0.32997,1.61368,2.05775,1.62929,0.00108916,0.00108916,0.00108916
11,368.726,1.43165,1.5476,1.50914,0.39818,0.59499,0.45664,0.24716,1.76009,2.14019,1.69607,0.00108408,0.00108408,0.00108408
12,399.162,1.40681,1.51625,1.50361,0.43041,0.50545,0.45692,0.26253,1.58781,2.1909,1.63732,0.00107849,0.00107849,0.00107849
13,431.123,1.3594,1.39909,1.46556,0.43589,0.59481,0.50428,0.2611,1.62126,1.93109,1.61813,0.00107238,0.00107238,0.00107238
14,462.488,1.352,1.38671,1.46477,0.56402,0.56022,0.57068,0.30982,1.6032,1.79022,1.58311,0.00106577,0.00106577,0.00106577
15,493.199,1.31778,1.35703,1.43702,0.51843,0.55996,0.58511,0.31309,1.62076,1.74511,1.66167,0.00105866,0.00105866,0.00105866
16,523.744,1.3675,1.35849,1.47173,0.58144,0.55808,0.54753,0.27987,1.73944,1.85319,1.71162,0.00105106,0.00105106,0.00105106
17,554.091,1.32096,1.25752,1.44497,0.48419,0.5805,0.52313,0.30057,1.53638,1.89628,1.67537,0.00104298,0.00104298,0.00104298
18,584.806,1.26646,1.23233,1.3997,0.52411,0.53743,0.52595,0.29826,1.48755,1.99681,1.55855,0.00103442,0.00103442,0.00103442
19,616.345,1.28854,1.178,1.42838,0.69756,0.5916,0.62124,0.32835,1.58096,1.78185,1.66705,0.00102539,0.00102539,0.00102539
20,647.147,1.26274,1.1408,1.39297,0.59024,0.62775,0.63829,0.35897,1.57976,1.72336,1.64497,0.0010159,0.0010159,0.0010159
21,677.889,1.25435,1.10383,1.38665,0.61707,0.55318,0.59267,0.32635,1.73626,1.82121,1.84263,0.00100597,0.00100597,0.00100597
22,708.919,1.25293,1.12946,1.40264,0.71211,0.44431,0.60711,0.35205,1.6106,1.77974,1.63642,0.000995597,0.000995597,0.000995597
23,739.767,1.22182,1.07038,1.37523,0.63287,0.59163,0.63017,0.34291,1.52103,1.67044,1.54684,0.000984795,0.000984795,0.000984795
24,770.735,1.214,1.03633,1.3578,0.64396,0.68844,0.61969,0.34496,1.56782,1.67642,1.57169,0.000973575,0.000973575,0.000973575
25,802.296,1.19346,1.03786,1.34472,0.6577,0.57104,0.65914,0.35206,1.62559,1.73225,1.66188,0.000961948,0.000961948,0.000961948
