epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.2991,1.57531,4.31171,1.54598,0.00637,0.67605,0.15232,0.06593,1.8046,4.44023,1.92235,0.000362104,0.000362104,0.000362104
2,16.5137,1.44744,3.43791,1.47727,0.54568,0.04339,0.07593,0.03198,1.96065,4.19054,2.34923,0.000725186,0.000725186,0.000725186
3,22.3457,1.45466,3.12673,1.49695,0.17851,0.43009,0.16814,0.07011,1.82151,4.60409,2.13497,0.00108094,0.00108094,0.00108094
4,28.397,1.39481,2.84361,1.42845,0.22175,0.38696,0.24681,0.13424,1.99209,3.45761,2.11168,0.001078,0.001078,0.001078
5,34.3953,1.41756,2.78781,1.47172,0.29578,0.52487,0.34037,0.18827,2.29215,2.56628,2.0458,0.001067,0.001067,0.001067
6,40.378,1.39822,2.59187,1.46365,0.38596,0.55892,0.41962,0.2306,2.29008,2.22734,2.2018,0.00105601,0.00105601,0.00105601
7,46.8742,1.36288,2.30856,1.41961,0.43143,0.60983,0.46901,0.2539,2.48045,2.27478,2.43503,0.00104501,0.00104501,0.00104501
8,53.1537,1.36674,2.13706,1.45003,0.43831,0.56421,0.5253,0.32618,2.40576,2.52023,1.94142,0.00103401,0.00103401,0.00103401
9,59.0124,1.33074,2.01073,1.40368,0.44022,0.53723,0.45525,0.28398,1.82247,2.20821,1.84255,0.00102301,0.00102301,0.00102301
10,64.8891,1.32135,1.93658,1.44253,0.34765,0.66138,0.51705,0.27977,2.30604,2.21008,2.19131,0.00101201,0.00101201,0.00101201
11,70.7664,1.31456,1.81163,1.4101,0.41078,0.67297,0.55429,0.29939,2.67002,1.99401,2.72896,0.00100101,0.00100101,0.00100101
12,76.738,1.32475,1.73583,1.40032,0.61164,0.56234,0.58653,0.33607,1.75911,2.33141,1.71385,0.000990012,0.000990012,0.000990012
13,82.6493,1.28169,1.70837,1.39965,0.56393,0.52725,0.57772,0.34068,1.46,1.75374,1.57871,0.000979013,0.000979013,0.000979013
14,88.556,1.27211,1.61452,1.39215,0.48695,0.64395,0.57085,0.31656,1.51321,1.89145,1.5993,0.000968014,0.000968014,0.000968014
15,94.5008,1.25949,1.53423,1.37444,0.5882,0.62928,0.61637,0.34545,2.42243,1.85759,2.3916,0.000957015,0.000957015,0.000957015
16,100.299,1.25983,1.50401,1.34972,0.65752,0.68716,0.74964,0.4384,1.4178,1.44916,1.58676,0.000946016,0.000946016,0.000946016
17,106.181,1.22528,1.43671,1.341,0.72604,0.70117,0.72102,0.43408,1.5792,1.93688,1.48902,0.000935018,0.000935018,0.000935018
18,112.49,1.18554,1.34153,1.31212,0.65032,0.60057,0.64794,0.37772,1.54824,1.97661,1.61559,0.000924019,0.000924019,0.000924019
19,118.491,1.21402,1.30692,1.33065,0.56324,0.60075,0.59889,0.34724,2.27223,2.25847,1.87591,0.00091302,0.00091302,0.00091302
20,124.529,1.22085,1.29039,1.33578,0.6577,0.64819,0.66322,0.3916,1.83143,1.86926,1.47331,0.000902021,0.000902021,0.000902021
21,130.303,1.16708,1.20656,1.29104,0.69291,0.60152,0.6345,0.36295,2.07274,1.63751,1.69317,0.000891022,0.000891022,0.000891022
22,136.137,1.18893,1.22153,1.32278,0.58817,0.60465,0.65753,0.37392,1.79052,2.07249,1.90501,0.000880023,0.000880023,0.000880023
23,141.962,1.18976,1.16813,1.31396,0.54697,0.6736,0.64304,0.37124,1.57105,2.17927,1.57827,0.000869024,0.000869024,0.000869024
24,148.141,1.15525,1.14815,1.27899,0.72784,0.45535,0.59308,0.34487,1.54954,1.75249,1.63579,0.000858025,0.000858025,0.000858025
25,153.989,1.13462,1.11116,1.28234,0.61582,0.66933,0.65991,0.3752,2.40886,1.94159,2.66444,0.000847026,0.000847026,0.000847026
26,159.968,1.12672,1.04048,1.27575,0.56438,0.71092,0.6643,0.38061,1.46167,2.08601,1.68255,0.000836027,0.000836027,0.000836027
27,165.826,1.14956,1.05895,1.28708,0.53855,0.67401,0.66388,0.38534,2.42351,2.1763,2.2146,0.000825029,0.000825029,0.000825029
28,171.717,1.1385,1.02431,1.29022,0.72691,0.55484,0.66043,0.3808,2.69895,1.68069,2.69157,0.00081403,0.00081403,0.00081403
29,177.485,1.15099,0.98546,1.28268,0.62369,0.74637,0.71667,0.42382,2.09171,2.18639,1.95635,0.000803031,0.000803031,0.000803031
30,183.443,1.12519,0.96507,1.27113,0.65358,0.73981,0.72795,0.42265,1.70829,1.73465,1.60275,0.000792032,0.000792032,0.000792032
31,189.405,1.10241,0.93853,1.2506,0.78604,0.55588,0.69612,0.43945,1.32207,1.7675,1.56883,0.000781033,0.000781033,0.000781033
32,195.386,1.08714,0.91477,1.26864,0.59672,0.68589,0.65926,0.38967,1.9064,2.15334,1.80064,0.000770034,0.000770034,0.000770034
33,201.202,1.08846,0.91055,1.24868,0.76623,0.61311,0.7337,0.42334,1.58861,1.70355,1.68463,0.000759035,0.000759035,0.000759035
34,206.99,1.05618,0.86009,1.21982,0.6524,0.57575,0.66138,0.3889,2.55844,1.58667,2.49359,0.000748036,0.000748036,0.000748036
35,212.909,1.07122,0.87456,1.2282,0.7524,0.60811,0.69625,0.38334,2.54067,2.16432,2.54749,0.000737037,0.000737037,0.000737037
36,218.715,1.04246,0.87922,1.21214,0.6872,0.70588,0.73995,0.43519,2.09601,1.70268,2.20679,0.000726038,0.000726038,0.000726038
37,224.95,1.02806,0.8641,1.20639,0.79307,0.6151,0.76617,0.45484,1.63797,1.47259,1.67499,0.00071504,0.00071504,0.00071504
38,230.778,1.03338,0.84418,1.21654,0.76009,0.58832,0.70971,0.38843,1.4461,1.87477,1.69889,0.000704041,0.000704041,0.000704041
39,236.616,1.07955,0.84362,1.23744,0.70432,0.69834,0.75098,0.45055,2.11234,2.29965,1.6466,0.000693042,0.000693042,0.000693042
40,242.373,1.04533,0.836,1.21799,0.69708,0.65331,0.74784,0.42814,1.55392,1.91843,1.69767,0.000682043,0.000682043,0.000682043
41,248.3,1.01405,0.76756,1.19273,0.75417,0.65242,0.74179,0.4408,1.71598,1.91354,1.92193,0.000671044,0.000671044,0.000671044
42,254.042,0.99784,0.74131,1.17106,0.62368,0.64179,0.64116,0.35531,1.79465,2.64498,1.88258,0.000660045,0.000660045,0.000660045
43,260.104,0.98319,0.76401,1.18843,0.6467,0.70691,0.73477,0.43363,1.48575,2.12215,1.51968,0.000649046,0.000649046,0.000649046
44,266.014,0.95998,0.7351,1.16332,0.72197,0.64734,0.72715,0.40975,1.82294,1.55889,1.76478,0.000638047,0.000638047,0.000638047
45,271.849,0.98971,0.759,1.1787,0.77011,0.63114,0.75369,0.43259,1.53937,1.45227,1.74538,0.000627048,0.000627048,0.000627048
