epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.66286,1.63341,4.6836,1.63642,0.38877,0.26014,0.26779,0.13672,2.56891,3.58234,2.22417,0.000362104,0.000362104,0.000362104
2,16.193,1.47974,2.53286,1.54225,0.27,0.46543,0.28992,0.14124,2.20907,2.81153,2.4677,0.000727603,0.000727603,0.000727603
3,23.6378,1.50479,2.27437,1.56236,0.24791,0.49593,0.27482,0.15109,2.33994,2.4127,3.05359,0.00108821,0.00108821,0.00108821
4,31.1665,1.48944,2.10065,1.55658,0.26786,0.4701,0.26803,0.14041,1.72947,2.72776,2.00177,0.001089,0.001089,0.001089
5,38.4901,1.48212,2.06136,1.55463,0.21241,0.38938,0.19744,0.10786,2.57854,3.5084,2.63944,0.00108167,0.00108167,0.00108167
6,45.9023,1.48328,1.87782,1.58205,0.51123,0.43734,0.43932,0.25549,2.90711,2.43781,3.21917,0.00107434,0.00107434,0.00107434
7,53.3473,1.44441,1.76333,1.51438,0.44951,0.60671,0.51126,0.25685,2.35968,2.33308,2.13901,0.001067,0.001067,0.001067
8,60.816,1.40819,1.60784,1.5189,0.60165,0.53403,0.5244,0.31254,2.75293,2.36058,2.37317,0.00105967,0.00105967,0.00105967
9,68.2098,1.36842,1.57097,1.48441,0.47339,0.65552,0.49717,0.29172,1.78943,2.16264,1.74879,0.00105234,0.00105234,0.00105234
10,75.5318,1.37159,1.56666,1.49421,0.36777,0.65846,0.53773,0.29649,2.89231,2.21509,2.61396,0.00104501,0.00104501,0.00104501
11,82.9269,1.36386,1.51771,1.50681,0.53034,0.56588,0.56327,0.31095,1.57968,1.90216,2.17192,0.00103767,0.00103767,0.00103767
12,90.2558,1.35399,1.5132,1.48279,0.54015,0.61274,0.57591,0.31965,1.9157,2.10769,1.88148,0.00103034,0.00103034,0.00103034
13,97.6643,1.31679,1.42173,1.46029,0.47429,0.67035,0.5467,0.30767,1.68791,1.74517,1.67535,0.00102301,0.00102301,0.00102301
14,104.977,1.29261,1.37285,1.47084,0.52392,0.66244,0.57742,0.32258,1.53217,1.93476,1.62156,0.00101568,0.00101568,0.00101568
15,113.157,1.29825,1.29479,1.47131,0.55732,0.63787,0.59796,0.36112,1.72016,1.73549,1.97629,0.00100834,0.00100834,0.00100834
16,120.684,1.28507,1.29765,1.43758,0.66668,0.65424,0.67315,0.39287,1.4906,1.78477,1.64482,0.00100101,0.00100101,0.00100101
17,128.166,1.26471,1.20479,1.41055,0.58484,0.68206,0.65062,0.39845,1.75765,2.17926,1.82042,0.000993678,0.000993678,0.000993678
18,135.695,1.23349,1.17269,1.41686,0.71029,0.55212,0.62481,0.39377,2.15808,2.21703,2.16779,0.000986346,0.000986346,0.000986346
19,143.093,1.23818,1.14086,1.42734,0.67237,0.71331,0.69989,0.43148,2.20622,2.05989,2.02689,0.000979013,0.000979013,0.000979013
20,150.52,1.22145,1.10826,1.4117,0.49923,0.70419,0.62895,0.39329,2.01916,2.13261,2.14643,0.000971681,0.000971681,0.000971681
21,157.98,1.17727,1.07187,1.37369,0.66846,0.76034,0.72419,0.42457,2.57197,1.50441,2.10016,0.000964348,0.000964348,0.000964348
22,165.361,1.16146,1.09176,1.3684,0.66336,0.71494,0.72118,0.43847,2.53685,1.80236,2.79382,0.000957015,0.000957015,0.000957015
23,172.867,1.18514,0.99557,1.36127,0.64928,0.64504,0.68894,0.40112,2.22998,2.06648,2.05698,0.000949683,0.000949683,0.000949683
24,180.263,1.1705,1.00095,1.33782,0.67678,0.70348,0.74903,0.45268,1.91098,1.63831,1.69643,0.00094235,0.00094235,0.00094235
25,187.726,1.14583,0.97108,1.34348,0.66112,0.67006,0.70284,0.41702,1.39851,1.50872,1.6521,0.000935018,0.000935018,0.000935018
26,195.148,1.09703,0.91744,1.30122,0.68255,0.66607,0.7336,0.39768,2.06937,1.83189,2.0836,0.000927685,0.000927685,0.000927685
27,202.502,1.15484,0.94116,1.34606,0.65961,0.67133,0.72955,0.40195,2.01213,2.40957,2.04617,0.000920352,0.000920352,0.000920352
28,209.997,1.16534,0.97453,1.35289,0.62736,0.6733,0.66035,0.38333,1.5998,2.08711,1.86171,0.00091302,0.00091302,0.00091302
29,217.379,1.14524,0.87012,1.33213,0.62461,0.66632,0.69633,0.42147,1.3525,1.87793,1.63962,0.000905687,0.000905687,0.000905687
30,224.842,1.12108,0.87346,1.32987,0.63681,0.67034,0.67042,0.38704,1.50003,2.1033,1.94671,0.000898355,0.000898355,0.000898355
31,232.242,1.08949,0.87033,1.2921,0.67144,0.67029,0.71226,0.42864,1.59485,1.83388,1.56835,0.000891022,0.000891022,0.000891022
32,239.673,1.07991,0.82649,1.30689,0.74096,0.66903,0.72408,0.44238,1.47802,1.86679,1.65613,0.000883689,0.000883689,0.000883689
33,247.077,1.07619,0.83505,1.29392,0.78142,0.64085,0.76792,0.4446,1.30739,1.82926,1.76114,0.000876357,0.000876357,0.000876357
34,254.438,1.06432,0.80878,1.28216,0.67815,0.65705,0.65391,0.3973,1.44603,1.7979,1.82059,0.000869024,0.000869024,0.000869024
35,262.171,1.06265,0.79163,1.27209,0.73798,0.73097,0.76446,0.45844,1.64443,1.51317,1.85659,0.000861692,0.000861692,0.000861692
36,269.623,1.0625,0.82105,1.27605,0.76363,0.70489,0.79221,0.45038,1.81782,1.57253,2.00536,0.000854359,0.000854359,0.000854359
37,277.058,1.01081,0.79756,1.24901,0.81285,0.7012,0.80506,0.46045,1.42825,1.31302,1.78834,0.000847026,0.000847026,0.000847026
38,284.575,1.02558,0.77769,1.26378,0.6965,0.68911,0.74741,0.43852,2.20293,1.65563,2.33432,0.000839694,0.000839694,0.000839694
39,291.896,1.01144,0.75703,1.24626,0.68802,0.74264,0.78351,0.43223,1.63022,1.64866,1.68108,0.000832361,0.000832361,0.000832361
40,299.307,1.00167,0.77299,1.24852,0.74043,0.6401,0.71315,0.40312,1.42019,2.53759,1.4947,0.000825029,0.000825029,0.000825029
41,306.661,1.00531,0.73874,1.2508,0.75331,0.7008,0.72906,0.4305,1.80356,2.47576,1.89939,0.000817696,0.000817696,0.000817696
42,314.041,0.97458,0.70879,1.2086,0.7411,0.67279,0.71184,0.40331,1.54323,1.4687,1.98929,0.000810363,0.000810363,0.000810363
43,321.38,0.96284,0.73488,1.22031,0.66849,0.73676,0.76001,0.45896,2.36407,2.25701,2.20009,0.000803031,0.000803031,0.000803031
