epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1381.57,0.92888,0.73807,1.20007,0.79148,0.61293,0.70521,0.39928,1.66403,1.44714,1.79166,0.0009204,0.0009204,0.0009204
43,1411.4,0.93605,0.70384,1.20311,0.68797,0.71015,0.70969,0.38772,1.74043,1.56627,1.85424,0.000911603,0.000911603,0.000911603
44,1442.79,0.93427,0.66948,1.19863,0.62097,0.71647,0.65962,0.34967,1.68412,1.59494,1.82237,0.000902652,0.000902652,0.000902652
45,1473.56,0.92432,0.67517,1.19438,0.69421,0.68905,0.73384,0.39372,1.66614,1.38099,1.81004,0.000893551,0.000893551,0.000893551
46,1509.39,0.91202,0.68211,1.17444,0.74224,0.62445,0.68458,0.37496,1.66028,1.53211,1.81738,0.000884305,0.000884305,0.000884305
47,1544.68,0.87994,0.66568,1.15651,0.55093,0.69822,0.64169,0.37285,1.59774,1.70642,1.7835,0.000874916,0.000874916,0.000874916
48,1579.96,0.91789,0.68406,1.19515,0.70918,0.64082,0.65563,0.38152,1.54081,1.48988,1.75269,0.00086539,0.00086539,0.00086539
49,1613.05,0.8588,0.63653,1.14747,0.6192,0.6631,0.66487,0.36978,1.60918,1.48197,1.78516,0.00085573,0.00085573,0.00085573
50,1644.19,0.86343,0.64118,1.14386,0.64067,0.66489,0.68675,0.38569,1.51755,1.42766,1.73646,0.000845941,0.000845941,0.000845941
51,1674.26,0.83864,0.60777,1.1301,0.81387,0.643,0.67917,0.3875,1.55413,1.56786,1.73413,0.000836027,0.000836027,0.000836027
52,1707.91,0.83399,0.61106,1.13806,0.70092,0.61798,0.67227,0.40041,1.52628,1.53006,1.66537,0.000825993,0.000825993,0.000825993
53,1740.98,0.81874,0.60771,1.11517,0.58211,0.60773,0.62418,0.36789,1.62282,1.70202,1.84973,0.000815842,0.000815842,0.000815842
54,1776.77,0.83413,0.61225,1.12846,0.64951,0.69992,0.73125,0.3905,1.66686,1.41236,1.83796,0.00080558,0.00080558,0.00080558
55,1809.85,0.82412,0.61228,1.12608,0.62557,0.64288,0.64813,0.37201,1.60001,1.48285,1.76488,0.00079521,0.00079521,0.00079521
56,1841.04,0.85543,0.60491,1.13087,0.57616,0.68153,0.63687,0.37145,1.62958,1.48794,1.78869,0.000784738,0.000784738,0.000784738
57,1871.3,0.81037,0.5854,1.11248,0.66754,0.70307,0.71154,0.41525,1.59574,1.24703,1.77153,0.000774167,0.000774167,0.000774167
58,1902.73,0.79751,0.57527,1.10818,0.68898,0.64603,0.71432,0.41864,1.5466,1.33469,1.67267,0.000763503,0.000763503,0.000763503
59,1934.71,0.76539,0.56484,1.08108,0.58092,0.70803,0.67184,0.41194,1.48033,1.43362,1.66557,0.00075275,0.00075275,0.00075275
60,1971.98,0.78527,0.59874,1.11706,0.74837,0.66545,0.72627,0.40914,1.61707,1.28036,1.85685,0.000741914,0.000741914,0.000741914
