epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.5964,1.66393,4.45111,1.66904,0.26817,0.40218,0.27187,0.14943,1.5249,2.91465,1.59349,0.000362104,0.000362104,0.000362104
2,62.6571,1.49453,2.45437,1.54523,0.26223,0.36928,0.21464,0.11662,1.72366,3.2872,1.90303,0.000732258,0.000732258,0.000732258
3,91.6087,1.55891,2.34037,1.53621,0.19965,0.46887,0.18108,0.10637,1.65,4.84236,1.74296,0.00110169,0.00110169,0.00110169
4,121.312,1.50715,2.07602,1.57584,0.24585,0.48386,0.26005,0.11812,1.83498,2.78824,1.99846,0.00110856,0.00110856,0.00110856
5,151.382,1.55233,2.09986,1.62052,0.3965,0.42472,0.34982,0.20569,1.46374,3.21164,1.65438,0.00110666,0.00110666,0.00110666
6,181.049,1.49081,1.89095,1.58826,0.2614,0.43106,0.3016,0.17147,1.53954,2.74078,1.79754,0.00110423,0.00110423,0.00110423
7,210.1,1.46085,1.77971,1.57096,0.58457,0.3552,0.4784,0.2948,1.48039,1.99513,1.66826,0.00110126,0.00110126,0.00110126
8,239.344,1.39737,1.82825,1.50884,0.46171,0.48827,0.41284,0.25152,1.44537,2.11645,1.63532,0.00109776,0.00109776,0.00109776
9,268.085,1.46023,1.75095,1.59033,0.43099,0.59324,0.51606,0.29068,1.65779,1.88243,1.7988,0.00109372,0.00109372,0.00109372
10,297.099,1.43309,1.64329,1.56628,0.40023,0.49313,0.45078,0.28389,1.46151,1.92125,1.69219,0.00108916,0.00108916,0.00108916
11,326.674,1.44285,1.6457,1.5797,0.60238,0.57886,0.62638,0.34888,1.61873,1.87232,1.77624,0.00108408,0.00108408,0.00108408
12,355.072,1.46735,1.61889,1.58456,0.66447,0.50316,0.55146,0.32087,1.5507,1.72812,1.71576,0.00107849,0.00107849,0.00107849
