epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.4306,1.63341,4.6836,1.63642,0.38877,0.26014,0.26779,0.13672,2.56891,3.58234,2.22417,0.000362104,0.000362104,0.000362104
2,17.9484,1.47991,2.54348,1.54403,0.46092,0.38847,0.29091,0.14969,2.58958,2.56179,2.45982,0.000725186,0.000725186,0.000725186
3,26.1876,1.51892,2.28028,1.57504,0.21968,0.47434,0.29379,0.16353,1.85757,2.10056,1.78266,0.00108094,0.00108094,0.00108094
4,33.7318,1.47407,2.08278,1.54833,0.28717,0.49269,0.33753,0.17577,1.48003,2.8573,1.81431,0.001078,0.001078,0.001078
5,41.2539,1.45374,2.01526,1.53988,0.37575,0.49327,0.34475,0.18588,2.8622,3.03057,2.63322,0.001067,0.001067,0.001067
6,48.6938,1.45163,1.86331,1.54045,0.51252,0.62334,0.47334,0.25856,2.57823,2.34853,2.29246,0.00105601,0.00105601,0.00105601
7,56.1442,1.41573,1.75621,1.52305,0.44931,0.47586,0.48821,0.26109,2.66478,2.17949,2.72761,0.00104501,0.00104501,0.00104501
8,63.662,1.41023,1.6759,1.53706,0.44429,0.5304,0.52528,0.29502,1.89303,2.23529,1.73608,0.00103401,0.00103401,0.00103401
9,71.0812,1.38057,1.57518,1.50334,0.5115,0.57119,0.53441,0.28424,2.96739,1.96523,2.832,0.00102301,0.00102301,0.00102301
10,78.4652,1.35511,1.54373,1.50567,0.42567,0.58383,0.50711,0.29253,2.43648,2.03694,2.17362,0.00101201,0.00101201,0.00101201
11,85.8476,1.36249,1.47705,1.52846,0.62291,0.60613,0.58638,0.33778,2.65306,2.48398,2.34023,0.00100101,0.00100101,0.00100101
12,93.3155,1.36615,1.47793,1.49561,0.44178,0.6477,0.58551,0.35986,2.61931,2.27426,1.92628,0.000990012,0.000990012,0.000990012
13,100.725,1.31233,1.4347,1.47757,0.62616,0.70058,0.67285,0.41634,2.00255,2.40875,2.16454,0.000979013,0.000979013,0.000979013
14,108.204,1.30676,1.32868,1.49076,0.50438,0.65273,0.55829,0.31149,1.49185,1.95976,1.75258,0.000968014,0.000968014,0.000968014
15,115.651,1.28641,1.2989,1.47071,0.53019,0.59039,0.6258,0.37111,1.22118,2.11588,1.63953,0.000957015,0.000957015,0.000957015
16,123.026,1.27746,1.24716,1.44258,0.71679,0.66448,0.67175,0.37801,2.6534,2.59806,2.06232,0.000946016,0.000946016,0.000946016
17,130.461,1.26263,1.23151,1.42974,0.56763,0.60201,0.62261,0.38297,1.58157,2.02926,1.86282,0.000935018,0.000935018,0.000935018
18,137.76,1.2016,1.16558,1.39126,0.53637,0.64337,0.59027,0.34128,2.14196,1.80992,2.05225,0.000924019,0.000924019,0.000924019
19,145.175,1.22346,1.11579,1.40241,0.61531,0.6702,0.64866,0.39088,1.86473,1.61573,1.70555,0.00091302,0.00091302,0.00091302
20,152.594,1.21391,1.10192,1.38813,0.58795,0.54442,0.57502,0.34044,1.71035,2.48471,1.96872,0.000902021,0.000902021,0.000902021
21,159.907,1.19317,1.03542,1.36381,0.65324,0.66604,0.69501,0.42094,1.38538,1.88485,1.71071,0.000891022,0.000891022,0.000891022
22,167.4,1.17964,1.06018,1.38073,0.61736,0.66376,0.67341,0.41983,1.75249,2.30737,1.73632,0.000880023,0.000880023,0.000880023
23,175.132,1.16662,0.99335,1.34744,0.74821,0.60265,0.75047,0.42183,1.33893,2.00683,1.62037,0.000869024,0.000869024,0.000869024
24,182.668,1.13972,0.98832,1.32431,0.61258,0.68029,0.70662,0.42437,1.43663,1.492,1.83558,0.000858025,0.000858025,0.000858025
25,190.118,1.13306,0.93478,1.32354,0.6693,0.73866,0.73673,0.429,1.42028,1.88161,1.89575,0.000847026,0.000847026,0.000847026
26,197.553,1.13169,0.9332,1.31792,0.6528,0.66298,0.67639,0.35624,2.361,2.14872,2.29935,0.000836027,0.000836027,0.000836027
27,204.958,1.1203,0.92863,1.33002,0.68461,0.76701,0.74473,0.40462,1.3799,1.38065,2.0684,0.000825029,0.000825029,0.000825029
28,212.334,1.12265,0.9114,1.34091,0.66413,0.75046,0.7221,0.41689,1.29864,1.58691,2.13571,0.00081403,0.00081403,0.00081403
29,219.711,1.09088,0.81649,1.29672,0.69266,0.68542,0.67451,0.3944,1.64045,2.10856,1.78923,0.000803031,0.000803031,0.000803031
30,227.127,1.12098,0.86255,1.32174,0.6929,0.6956,0.71173,0.38922,1.45334,1.50957,1.82255,0.000792032,0.000792032,0.000792032
31,234.502,1.06623,0.84503,1.28817,0.64326,0.63513,0.62303,0.37033,1.66018,1.86422,2.10688,0.000781033,0.000781033,0.000781033
32,241.965,1.05104,0.80568,1.2982,0.65072,0.72168,0.71396,0.43574,1.6156,1.38096,1.78274,0.000770034,0.000770034,0.000770034
33,249.399,1.04576,0.79494,1.27171,0.74642,0.81542,0.83625,0.48112,1.40559,1.22809,1.80702,0.000759035,0.000759035,0.000759035
34,256.811,1.01948,0.76269,1.24016,0.63799,0.77671,0.74218,0.42914,1.6084,1.18318,2.01549,0.000748036,0.000748036,0.000748036
35,264.241,1.04376,0.77987,1.25994,0.82584,0.80058,0.84509,0.50241,1.60575,1.65072,2.27558,0.000737037,0.000737037,0.000737037
36,271.687,1.02067,0.76461,1.25687,0.82456,0.67889,0.79548,0.47623,1.70762,1.77055,1.86918,0.000726038,0.000726038,0.000726038
37,279.138,0.98885,0.76118,1.24454,0.73871,0.73211,0.78258,0.46056,1.82513,1.74048,1.83147,0.00071504,0.00071504,0.00071504
38,286.44,0.99622,0.73909,1.24039,0.69897,0.65882,0.71243,0.42586,1.37443,1.63682,1.93441,0.000704041,0.000704041,0.000704041
39,293.828,0.97992,0.72212,1.23307,0.69026,0.70647,0.76354,0.46568,1.62798,1.34756,1.99389,0.000693042,0.000693042,0.000693042
40,301.241,0.97559,0.72473,1.22868,0.655,0.6801,0.72406,0.41935,1.60994,2.07218,1.82876,0.000682043,0.000682043,0.000682043
41,308.567,0.96923,0.68096,1.22066,0.67604,0.72979,0.75747,0.43197,1.56684,1.95791,2.01418,0.000671044,0.000671044,0.000671044
42,316.315,0.92821,0.66285,1.18645,0.67796,0.78957,0.76732,0.43258,1.48211,1.6065,1.69403,0.000660045,0.000660045,0.000660045
43,323.637,0.93822,0.70589,1.20964,0.79737,0.75455,0.81673,0.48307,1.73212,1.20999,2.10214,0.000649046,0.000649046,0.000649046
44,331.079,0.8994,0.6695,1.16892,0.78792,0.75604,0.81273,0.48398,1.7399,1.25325,2.40084,0.000638047,0.000638047,0.000638047
45,338.41,0.92162,0.66939,1.1834,0.77829,0.72293,0.79466,0.45021,1.54658,1.15857,1.96041,0.000627048,0.000627048,0.000627048
46,345.822,0.91515,0.64433,1.18056,0.80521,0.67644,0.80789,0.44794,1.43098,1.5843,1.7056,0.000616049,0.000616049,0.000616049
47,353.237,0.91184,0.65784,1.17888,0.72326,0.72315,0.75812,0.43006,1.59067,1.53486,1.8472,0.000605051,0.000605051,0.000605051
48,360.661,0.89573,0.63043,1.17444,0.67762,0.71624,0.73046,0.45077,1.55935,1.88615,1.64274,0.000594052,0.000594052,0.000594052
49,368.044,0.8831,0.6377,1.17514,0.76948,0.67663,0.74459,0.45835,1.52604,1.73365,1.68894,0.000583053,0.000583053,0.000583053
50,375.365,0.85737,0.61753,1.1446,0.71413,0.74462,0.77762,0.48227,1.56152,1.86624,1.71431,0.000572054,0.000572054,0.000572054
51,382.727,0.84308,0.61172,1.12606,0.68527,0.72133,0.74032,0.451,1.42505,1.05817,2.07332,0.000561055,0.000561055,0.000561055
52,390.088,0.83257,0.59476,1.13111,0.82975,0.72268,0.83461,0.49671,1.58246,1.56002,2.20842,0.000550056,0.000550056,0.000550056
53,397.568,0.82699,0.5797,1.13712,0.77006,0.73919,0.803,0.49338,1.38211,1.31327,1.63604,0.000539057,0.000539057,0.000539057
54,405.039,0.81071,0.60194,1.11331,0.7151,0.81251,0.80731,0.475,1.67885,1.62704,1.7723,0.000528058,0.000528058,0.000528058
55,412.407,0.79746,0.56619,1.10809,0.72428,0.76483,0.78588,0.44672,1.76124,1.73834,1.98804,0.000517059,0.000517059,0.000517059
56,419.857,0.80443,0.54371,1.10583,0.73342,0.75964,0.77561,0.46944,1.37882,1.43545,1.65727,0.00050606,0.00050606,0.00050606
57,427.165,0.79212,0.54745,1.09835,0.72929,0.77457,0.82199,0.47942,1.45182,1.1893,1.6853,0.000495062,0.000495062,0.000495062
58,434.599,0.77767,0.54412,1.10077,0.70178,0.82556,0.80706,0.45853,1.50875,1.27027,1.93539,0.000484063,0.000484063,0.000484063
