epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.11003,1.60553,4.2858,1.60696,0.29974,0.43299,0.29897,0.16575,1.82873,3.49622,2.45071,0.000362104,0.000362104,0.000362104
2,15.7708,1.44905,2.61275,1.52589,0.13942,0.45938,0.17621,0.08987,1.879,4.1121,2.27322,0.000726394,0.000726394,0.000726394
3,23.2576,1.47946,2.18934,1.55121,0.51458,0.31581,0.22857,0.12125,2.13877,3.56601,2.71073,0.00108457,0.00108457,0.00108457
4,30.6673,1.46321,2.01529,1.57591,0.335,0.48574,0.3456,0.18085,2.10969,3.11627,2.59563,0.0010835,0.0010835,0.0010835
5,38.1321,1.44064,1.94879,1.57967,0.5785,0.39078,0.39705,0.20142,1.97531,2.51506,2.42429,0.00107434,0.00107434,0.00107434
6,45.5574,1.46717,1.87745,1.58741,0.40677,0.53663,0.38829,0.20537,1.79072,2.72041,2.05146,0.00106517,0.00106517,0.00106517
7,53.0491,1.43011,1.72575,1.58712,0.52368,0.48412,0.50929,0.28483,1.87689,2.41189,2.23972,0.00105601,0.00105601,0.00105601
8,60.5634,1.39175,1.6439,1.55005,0.44901,0.5432,0.51738,0.29236,1.94037,2.66191,2.24555,0.00104684,0.00104684,0.00104684
9,67.997,1.38744,1.54616,1.56194,0.58354,0.52118,0.53194,0.32685,1.80643,2.37322,2.18106,0.00103767,0.00103767,0.00103767
10,75.5529,1.37513,1.47023,1.52523,0.53045,0.54995,0.57519,0.31881,1.7952,1.82167,2.10838,0.00102851,0.00102851,0.00102851
11,82.8634,1.38062,1.46396,1.57159,0.53338,0.49164,0.52998,0.33368,1.94988,1.87772,2.579,0.00101934,0.00101934,0.00101934
12,90.3674,1.34733,1.46486,1.53539,0.58194,0.55716,0.50851,0.29646,1.90695,2.09039,2.19323,0.00101018,0.00101018,0.00101018
13,97.6955,1.32815,1.36522,1.53023,0.64441,0.59942,0.61966,0.37802,1.82938,1.85286,2.05026,0.00100101,0.00100101,0.00100101
14,105.111,1.32315,1.29429,1.49363,0.58447,0.57331,0.59204,0.34459,1.75955,1.57532,2.04246,0.000991845,0.000991845,0.000991845
15,112.503,1.26972,1.26968,1.48472,0.64174,0.58785,0.63108,0.36519,1.7694,1.71398,2.07376,0.000982679,0.000982679,0.000982679
16,119.903,1.3062,1.19352,1.49302,0.52536,0.56859,0.54908,0.32452,1.69292,1.76461,2.01977,0.000973514,0.000973514,0.000973514
17,127.315,1.28557,1.18603,1.46709,0.67939,0.53135,0.6067,0.34624,1.82345,1.57458,2.12739,0.000964348,0.000964348,0.000964348
18,134.634,1.27666,1.16863,1.48123,0.66113,0.53984,0.6071,0.35749,1.77803,1.96554,2.07755,0.000955182,0.000955182,0.000955182
19,142.042,1.25202,1.13274,1.48586,0.70603,0.60477,0.68018,0.41537,1.9184,1.94699,2.26735,0.000946016,0.000946016,0.000946016
20,149.533,1.20657,1.06812,1.40738,0.68492,0.64878,0.70385,0.40942,1.53133,1.46246,1.86208,0.000936851,0.000936851,0.000936851
21,157.237,1.15793,1.00208,1.35581,0.76896,0.58479,0.67229,0.39297,1.59277,1.5181,1.85387,0.000927685,0.000927685,0.000927685
22,164.72,1.17359,0.96604,1.38044,0.69694,0.64961,0.6905,0.40351,1.58165,1.50338,1.86009,0.000918519,0.000918519,0.000918519
23,172.051,1.19517,0.963,1.39432,0.74859,0.61736,0.72491,0.44226,1.73282,1.42977,2.2417,0.000909353,0.000909353,0.000909353
24,179.536,1.16592,0.98704,1.38302,0.59954,0.65877,0.68419,0.39613,1.64629,1.58618,2.25913,0.000900188,0.000900188,0.000900188
25,186.803,1.16082,0.97124,1.39472,0.71206,0.63331,0.70318,0.40513,1.69204,1.55751,1.94396,0.000891022,0.000891022,0.000891022
26,194.287,1.1272,0.92483,1.36552,0.73927,0.6977,0.72864,0.42818,1.55484,1.44938,2.12618,0.000881856,0.000881856,0.000881856
27,201.684,1.15131,0.95278,1.37877,0.81563,0.62722,0.77347,0.47579,1.68047,1.32279,1.93477,0.000872691,0.000872691,0.000872691
28,209.161,1.128,0.89012,1.37584,0.65396,0.7082,0.70492,0.39773,1.57891,1.48849,1.93342,0.000863525,0.000863525,0.000863525
29,216.575,1.12175,0.88339,1.35279,0.78903,0.69672,0.78621,0.45828,1.76453,1.21732,1.98119,0.000854359,0.000854359,0.000854359
30,223.981,1.12943,0.86599,1.33784,0.79134,0.66663,0.77547,0.45143,1.84297,1.10924,2.25868,0.000845193,0.000845193,0.000845193
31,231.38,1.08407,0.8721,1.3204,0.77412,0.67173,0.76368,0.44521,1.54731,1.13705,1.85478,0.000836027,0.000836027,0.000836027
32,238.823,1.07544,0.84262,1.32276,0.76474,0.68638,0.75986,0.41661,1.62367,1.15402,1.95991,0.000826862,0.000826862,0.000826862
33,246.168,1.07039,0.82183,1.29792,0.76065,0.69271,0.76307,0.45159,1.7887,1.20248,2.22085,0.000817696,0.000817696,0.000817696
34,253.561,1.0438,0.77362,1.29685,0.73564,0.77252,0.80949,0.48078,1.66964,1.16923,2.07201,0.00080853,0.00080853,0.00080853
35,260.948,1.02406,0.77378,1.26797,0.72483,0.66744,0.74164,0.39463,1.85996,1.39474,2.35648,0.000799365,0.000799365,0.000799365
36,268.335,1.02691,0.76447,1.28921,0.74715,0.69447,0.78141,0.45571,1.68269,1.26721,2.07773,0.000790199,0.000790199,0.000790199
37,275.697,1.03087,0.7836,1.30931,0.77313,0.67014,0.77627,0.43447,1.59266,1.34801,1.92962,0.000781033,0.000781033,0.000781033
38,283.096,1.00114,0.73737,1.26924,0.75091,0.69833,0.75188,0.4486,1.49887,1.147,1.88092,0.000771867,0.000771867,0.000771867
39,290.419,0.98005,0.75104,1.25606,0.72254,0.69443,0.75853,0.44546,1.59982,1.19131,2.10526,0.000762702,0.000762702,0.000762702
40,297.798,0.98347,0.7275,1.25976,0.76314,0.65836,0.72035,0.42574,1.64377,1.37862,2.05539,0.000753536,0.000753536,0.000753536
41,305.479,0.97391,0.7041,1.23605,0.79085,0.64101,0.74007,0.43483,1.63433,1.18974,2.07681,0.00074437,0.00074437,0.00074437
42,312.819,0.95013,0.68813,1.23433,0.67185,0.78266,0.79021,0.48416,1.54603,1.00506,2.00714,0.000735204,0.000735204,0.000735204
43,320.311,0.97231,0.66769,1.23758,0.59213,0.71052,0.68289,0.43973,1.70986,1.24554,2.07321,0.000726038,0.000726038,0.000726038
44,327.739,0.95772,0.71763,1.24265,0.68659,0.73469,0.7333,0.45044,1.63181,1.3858,2.08613,0.000716873,0.000716873,0.000716873
45,335.125,0.92319,0.68064,1.20896,0.83343,0.66613,0.80618,0.47745,1.54166,1.09227,2.04856,0.000707707,0.000707707,0.000707707
46,342.539,0.92441,0.69054,1.2149,0.84576,0.64365,0.76713,0.45848,1.67258,1.26716,2.0682,0.000698541,0.000698541,0.000698541
47,349.886,0.94359,0.66047,1.22186,0.75559,0.66817,0.76357,0.45614,1.64094,1.14853,2.01688,0.000689376,0.000689376,0.000689376
48,357.33,0.92058,0.66138,1.20592,0.71726,0.75433,0.79546,0.48741,1.47545,0.95033,1.89343,0.00068021,0.00068021,0.00068021
49,364.799,0.90946,0.64257,1.19017,0.84016,0.5926,0.77534,0.47278,1.54544,1.16562,2.00073,0.000671044,0.000671044,0.000671044
50,372.219,0.89072,0.63282,1.17813,0.7565,0.66781,0.76863,0.46734,1.56814,1.13359,2.21454,0.000661878,0.000661878,0.000661878
51,379.625,0.87556,0.62409,1.16825,0.78138,0.65893,0.71675,0.41715,1.53218,1.15037,2.1022,0.000652712,0.000652712,0.000652712
52,387,0.88017,0.62797,1.17544,0.73036,0.75307,0.76419,0.46491,1.56073,1.1809,2.18388,0.000643547,0.000643547,0.000643547
53,394.436,0.88195,0.6298,1.17034,0.74024,0.65654,0.74384,0.45265,1.48767,1.12564,2.03479,0.000634381,0.000634381,0.000634381
54,401.788,0.8745,0.61141,1.17689,0.76414,0.62439,0.75029,0.44797,1.45715,1.00328,1.89743,0.000625215,0.000625215,0.000625215
55,409.179,0.89879,0.64229,1.18639,0.79826,0.69524,0.74845,0.43317,1.49501,1.03309,1.99705,0.000616049,0.000616049,0.000616049
56,416.487,0.83828,0.59102,1.13467,0.82546,0.60074,0.75501,0.45629,1.51022,1.05765,1.93574,0.000606884,0.000606884,0.000606884
57,423.865,0.84182,0.5875,1.13942,0.74155,0.73475,0.7867,0.46261,1.52064,0.99775,2.05958,0.000597718,0.000597718,0.000597718
58,431.395,0.8178,0.57464,1.12503,0.83529,0.66756,0.79331,0.48147,1.62644,0.97461,2.1924,0.000588552,0.000588552,0.000588552
59,438.706,0.81594,0.58679,1.12743,0.84355,0.68916,0.82514,0.48204,1.52848,0.92796,1.98796,0.000579386,0.000579386,0.000579386
60,446.107,0.81262,0.56455,1.1193,0.74991,0.70674,0.80541,0.46346,1.55118,0.93397,2.11656,0.000570221,0.000570221,0.000570221
61,453.836,0.8033,0.57695,1.11762,0.78033,0.74014,0.79444,0.49479,1.47963,0.90496,2.02022,0.000561055,0.000561055,0.000561055
62,461.364,0.78323,0.57015,1.10903,0.72797,0.71368,0.76261,0.43974,1.59435,0.99505,2.04162,0.000551889,0.000551889,0.000551889
63,468.862,0.79353,0.54899,1.11166,0.72667,0.67381,0.73399,0.44168,1.55604,1.02801,2.05579,0.000542723,0.000542723,0.000542723
64,476.201,0.76949,0.52266,1.08578,0.7155,0.69727,0.76827,0.45695,1.57493,1.09037,2.05582,0.000533558,0.000533558,0.000533558
65,483.627,0.79083,0.54546,1.12339,0.65569,0.74867,0.73852,0.46472,1.52919,1.00985,2.01549,0.000524392,0.000524392,0.000524392
66,490.942,0.76845,0.5617,1.11866,0.74774,0.66737,0.76895,0.47611,1.4823,1.02453,2.03361,0.000515226,0.000515226,0.000515226
67,498.365,0.77432,0.56365,1.09692,0.66908,0.79135,0.76994,0.44069,1.51758,1.0231,2.0484,0.00050606,0.00050606,0.00050606
68,505.742,0.7699,0.53599,1.10925,0.73975,0.75479,0.78294,0.47002,1.50067,1.03352,1.93313,0.000496895,0.000496895,0.000496895
69,513.118,0.74302,0.52684,1.08892,0.82604,0.72331,0.81196,0.48843,1.41703,0.96411,1.9442,0.000487729,0.000487729,0.000487729
70,520.556,0.72907,0.52005,1.07494,0.84101,0.7073,0.80392,0.49192,1.38566,0.98381,1.914,0.000478563,0.000478563,0.000478563
71,527.853,0.74143,0.51361,1.08621,0.77417,0.7198,0.79241,0.48057,1.52997,0.94651,2.06926,0.000469397,0.000469397,0.000469397
72,535.24,0.73615,0.5211,1.08427,0.82501,0.67896,0.79589,0.46509,1.53986,0.99072,2.17892,0.000460232,0.000460232,0.000460232
73,542.623,0.74264,0.52663,1.08962,0.81827,0.71158,0.79455,0.46669,1.49505,0.98689,2.0738,0.000451066,0.000451066,0.000451066
74,550.039,0.74211,0.50867,1.08097,0.8087,0.73336,0.79538,0.4751,1.52839,0.97684,2.18174,0.0004419,0.0004419,0.0004419
75,557.333,0.71035,0.47733,1.04702,0.79761,0.74489,0.81762,0.49092,1.46391,0.87198,2.11584,0.000432734,0.000432734,0.000432734
76,564.635,0.70581,0.50031,1.0564,0.81761,0.73047,0.81573,0.48986,1.48098,0.86423,2.09141,0.000423569,0.000423569,0.000423569
77,572.046,0.69111,0.4813,1.04763,0.84767,0.69259,0.80469,0.49827,1.51095,0.97122,2.18064,0.000414403,0.000414403,0.000414403
78,579.478,0.68499,0.48722,1.03287,0.77966,0.7502,0.80563,0.49423,1.51099,0.99169,2.15257,0.000405237,0.000405237,0.000405237
79,586.871,0.69857,0.51018,1.05376,0.88039,0.67778,0.8101,0.49201,1.46428,0.88469,2.06685,0.000396071,0.000396071,0.000396071
80,594.261,0.69126,0.48249,1.05932,0.81803,0.71244,0.80847,0.48192,1.46833,0.86704,2.05039,0.000386906,0.000386906,0.000386906
81,601.664,0.68797,0.47459,1.04989,0.76991,0.71141,0.8185,0.49505,1.46917,0.88001,2.10498,0.00037774,0.00037774,0.00037774
82,609.455,0.66538,0.46552,1.03278,0.80423,0.68258,0.76652,0.47676,1.43601,1.07747,2.01973,0.000368574,0.000368574,0.000368574
83,616.792,0.65253,0.44875,1.02574,0.85042,0.63694,0.8113,0.476,1.47557,1.00234,2.13014,0.000359409,0.000359409,0.000359409
84,624.231,0.6395,0.43148,1.0099,0.79754,0.71568,0.8043,0.48071,1.49952,0.9333,2.14235,0.000350243,0.000350243,0.000350243
85,631.596,0.63749,0.44047,1.01721,0.77985,0.69943,0.77946,0.46789,1.62487,1.04259,2.44826,0.000341077,0.000341077,0.000341077
86,638.993,0.63918,0.44214,1.01227,0.77253,0.75539,0.81131,0.49407,1.53092,1.04826,2.20296,0.000331911,0.000331911,0.000331911
87,646.438,0.64603,0.44953,1.02414,0.78178,0.74897,0.83164,0.50448,1.47321,0.91011,2.06579,0.000322745,0.000322745,0.000322745
88,653.837,0.63619,0.44534,1.01805,0.73711,0.77269,0.77776,0.47166,1.45575,0.99075,2.06369,0.00031358,0.00031358,0.00031358
89,661.216,0.62165,0.4432,1.01112,0.83659,0.674,0.81809,0.49867,1.54433,0.87925,2.18748,0.000304414,0.000304414,0.000304414
90,668.555,0.6412,0.43789,1.01076,0.78025,0.74034,0.82625,0.50254,1.59218,0.91358,2.21903,0.000295248,0.000295248,0.000295248
91,675.984,0.64246,0.4402,1.01537,0.70513,0.8057,0.81124,0.49565,1.79079,1.0664,2.51683,0.000286083,0.000286083,0.000286083
92,683.29,0.60831,0.42744,1.00333,0.73236,0.83185,0.81738,0.50063,1.51637,0.92042,2.14149,0.000276917,0.000276917,0.000276917
93,690.661,0.60196,0.42564,0.9995,0.79547,0.78177,0.81981,0.50284,1.45826,0.91996,2.09383,0.000267751,0.000267751,0.000267751
94,698.005,0.60531,0.42255,0.99451,0.77943,0.772,0.80914,0.49147,1.50292,0.96975,2.08566,0.000258585,0.000258585,0.000258585
95,705.333,0.58367,0.40962,0.97842,0.8068,0.74005,0.79239,0.47375,1.66298,1.05718,2.33648,0.00024942,0.00024942,0.00024942
96,712.757,0.56973,0.40235,0.97314,0.78783,0.78064,0.82706,0.49895,1.60355,0.98368,2.23928,0.000240254,0.000240254,0.000240254
97,720.153,0.57157,0.42,0.99536,0.8005,0.78902,0.81987,0.49627,1.50858,0.93698,2.1053,0.000231088,0.000231088,0.000231088
98,727.544,0.57436,0.39882,0.97841,0.84036,0.77828,0.8322,0.50557,1.50967,0.96743,2.12672,0.000221922,0.000221922,0.000221922
99,734.964,0.56,0.40148,0.97375,0.86771,0.73511,0.82782,0.49684,1.54832,0.89912,2.3608,0.000212757,0.000212757,0.000212757
100,742.341,0.55685,0.39536,0.97488,0.7772,0.82374,0.83315,0.51189,1.5995,0.88085,2.52088,0.000203591,0.000203591,0.000203591
101,749.789,0.55669,0.3877,0.97274,0.78855,0.79631,0.83392,0.50164,1.51685,0.94286,2.30737,0.000194425,0.000194425,0.000194425
102,757.5,0.55992,0.3852,0.97574,0.82226,0.72897,0.81987,0.4912,1.51652,0.9316,2.38142,0.000185259,0.000185259,0.000185259
103,764.861,0.55201,0.3862,0.97306,0.7837,0.79416,0.84632,0.51954,1.5564,0.89059,2.43479,0.000176094,0.000176094,0.000176094
104,772.306,0.54679,0.38264,0.96422,0.79855,0.76693,0.83216,0.50891,1.51696,0.88982,2.38062,0.000166928,0.000166928,0.000166928
105,779.75,0.52248,0.37642,0.94814,0.76477,0.80578,0.83918,0.5113,1.55352,0.89559,2.41697,0.000157762,0.000157762,0.000157762
106,787.119,0.5304,0.37522,0.95896,0.7781,0.78542,0.83323,0.51583,1.49283,0.86096,2.29186,0.000148596,0.000148596,0.000148596
